0. 	183810.9999981843
1. 	79669.92319572593
2. 	86267.67410235935
3. 	72260.35360673653
4. 	75132.40765928668
5. 	68932.6029131355
6. 	71197.83341084914
7. 	67782.5377845268
8. 	69379.57741406372
9. 	67383.70755882388
10. 	68477.80188342396
11. 	67207.1847962372
12. 	68004.15388363267
13. 	67138.95537950807
14. 	67708.25939079146
15. 	67131.6639346713
16. 	67524.47691364767
17. 	67132.11109104136
18. 	67413.7101218584
19. 	67138.84981449715
20. 	67339.82543896341
21. 	67149.78500617412
22. 	67290.83065799328
23. 	67158.76207907012
24. 	67259.2257454245
25. 	67166.0293806807
26. 	67237.78022614133
27. 	67172.32050731525
28. 	67223.12743901892
29. 	67177.14437293068
30. 	67213.31945184492
31. 	67180.75113810251
32. 	67206.59757743869
33. 	67183.5491211406
34. 	67201.93310322244
35. 	67185.63238882687
36. 	67198.742093165
37. 	67187.15939556045
38. 	67196.52571858228
39. 	67188.29833357994
40. 	67194.97937612096
41. 	67189.13216054361
42. 	67193.90362973847
43. 	67189.74037799244
44. 	67193.15073830378
45. 	67190.18473573797
46. 	67192.62137402293
47. 	67190.50788330668
48. 	67192.25035506621
49. 	67190.7423803229
50. 	67191.98879607832
51. 	67190.91290192968
52. 	67191.80442692328
53. 	67191.03608703314
54. 	67191.67433608793
55. 	67191.12532992226
